Report date,Total
2020-01-23,10.0
2020-01-24,12.0
2020-01-26,13.0
2020-01-29,14.0
2020-01-30,13.0
2020-01-31,13.0
2020-02-01,13.0
2020-02-02,14.0
2020-02-04,14.0
2020-02-05,23.0
2020-02-06,28.0
2020-02-07,34.0
2020-02-09,32.0
2020-02-10,32.0
2020-02-11,32.0
2020-02-12,31.0
2020-02-13,24.0
2020-02-14,20.0
2020-02-16,16.0
2020-02-17,19.0
2020-02-18,17.0
2020-02-19,19.0
2020-02-20,24.0
2020-02-22,25.0
2020-02-23,29.0
2020-02-24,28.0
2020-02-25,25.0
2020-02-26,25.0
2020-02-27,25.0
2020-02-28,20.0
2020-02-29,20.0
2020-03-01,17.0
2020-03-02,17.0
2020-03-04,21.0
2020-03-06,21.0
2020-03-07,21.0
2020-03-08,29.0
2020-03-09,27.0
2020-03-10,30.0
2020-03-11,32.0
2020-03-12,34.0
2020-03-13,42.0
2020-03-14,47.0
2020-03-15,63.0
2020-03-16,77.0
2020-03-17,119.0
2020-03-18,132.0
2020-03-19,169.0
2020-03-20,199.0
2020-03-21,219.0
2020-03-22,218.0
2020-03-23,245.0
2020-03-24,262.0
2020-03-25,309.0
2020-03-26,324.0
2020-03-27,326.0
2020-03-28,328.0
2020-03-29,355.0
2020-03-30,349.0
2020-03-31,327.0
2020-04-01,280.0
2020-04-02,249.0
2020-04-03,232.0
2020-04-04,221.0
2020-04-05,195.0
2020-04-06,171.0
2020-04-07,144.0
2020-04-08,138.0
2020-04-09,114.0
2020-04-10,95.0
2020-04-11,77.0
2020-04-12,56.0
2020-04-13,44.0
2020-04-14,32.0
2020-04-15,23.0
2020-04-16,21.0
2020-04-17,20.0
2020-04-18,21.0
2020-04-19,19.0
2020-04-21,20.0
2020-04-22,18.0
2020-04-23,17.0
2020-04-25,19.0
2020-05-01,18.0
2020-05-04,17.0
2020-05-07,16.0
2020-05-10,15.0
2020-05-13,16.0
2020-05-14,23.0
2020-05-15,21.0
2020-05-17,19.0
2020-05-21,29.0
2020-05-22,31.0
2020-05-27,32.0
2020-05-29,32.0
2020-05-30,30.0
2020-05-31,34.0
2020-06-01,36.0
2020-06-02,26.0
2020-06-04,24.0
2020-06-05,23.0
2020-06-06,21.0
2020-06-07,16.0
2020-06-08,13.0
2020-06-12,18.0
2020-06-13,19.0
2020-06-15,21.0
2020-06-17,21.0
2020-06-18,23.0
2020-06-19,52.0
2020-06-20,65.0
2020-06-21,59.0
2020-06-22,69.0
2020-06-23,69.0
2020-06-24,69.0
2020-06-25,68.0
2020-06-26,42.0
2020-06-27,28.0
2020-06-28,54.0
2020-06-29,49.0
2020-06-30,51.0
2020-07-01,61.0
2020-07-02,69.0
2020-07-03,82.0
2020-07-04,94.0
2020-07-05,90.0
2020-07-06,123.0
2020-07-07,156.0
2020-07-08,173.0
2020-07-09,201.0
2020-07-10,236.0
2020-07-11,270.0
2020-07-12,265.0
2020-07-13,290.0
2020-07-14,310.0
2020-07-15,346.0
2020-07-16,415.0
2020-07-17,436.0
2020-07-18,449.0
2020-07-19,543.0
2020-07-20,594.0
2020-07-21,659.0
2020-07-22,728.0
2020-07-23,749.0
2020-07-24,821.0
2020-07-25,866.0
2020-07-26,870.0
2020-07-27,901.0
2020-07-28,899.0
2020-07-29,891.0
2020-07-30,876.0
2020-07-31,811.0
2020-08-01,785.0
2020-08-02,753.0
2020-08-03,699.0
2020-08-04,667.0
2020-08-05,611.0
2020-08-06,570.0
2020-08-07,559.0
2020-08-08,512.0
2020-08-09,489.0
2020-08-10,463.0
2020-08-11,422.0
2020-08-12,399.0
2020-08-13,401.0
2020-08-14,376.0
2020-08-15,379.0
2020-08-16,343.0
2020-08-17,292.0
2020-08-18,271.0
2020-08-19,251.0
2020-08-20,202.0
2020-08-21,167.0
2020-08-22,150.0
2020-08-23,148.0
2020-08-24,151.0
2020-08-25,137.0
2020-08-26,129.0
2020-08-27,119.0
2020-08-28,119.0
2020-08-29,112.0
2020-08-30,96.0
2020-08-31,83.0
2020-09-01,82.0
2020-09-02,71.0
2020-09-03,77.0
2020-09-04,79.0
2020-09-05,73.0
2020-09-06,71.0
2020-09-07,75.0
2020-09-08,75.0
2020-09-09,81.0
2020-09-10,79.0
2020-09-11,82.0
2020-09-12,80.0
2020-09-13,83.0
2020-09-14,80.0
2020-09-15,71.0
2020-09-16,71.0
2020-09-17,75.0
2020-09-18,67.0
2020-09-19,71.0
2020-09-20,65.0
2020-09-21,63.0
2020-09-22,62.0
2020-09-23,50.0
2020-09-24,33.0
2020-09-25,37.0
2020-09-26,33.0
2020-09-27,38.0
2020-09-28,41.0
2020-09-29,46.0
2020-09-30,49.0
2020-10-01,48.0
2020-10-02,49.0
