Report date,Local link (+),Local link (-),Imported link (+),Imported link (-),Possibly Local link (-),Possibly Local link (+),Total
2020-01-23,0.0,0.0,0.0,2.0,0.0,0.0,2.0
2020-01-24,0.0,0.0,0.0,3.0,0.0,0.0,3.0
2020-01-26,0.0,0.0,0.0,3.0,0.0,0.0,3.0
2020-01-29,0.0,0.0,0.0,2.0,0.0,0.0,2.0
2020-01-30,0.0,0.0,1.0,0.0,1.0,0.0,2.0
2020-01-31,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2020-02-01,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2020-02-02,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-02-04,0.0,3.0,0.0,0.0,0.0,0.0,3.0
2020-02-05,2.0,0.0,0.0,0.0,1.0,0.0,3.0
2020-02-06,0.0,2.0,0.0,0.0,0.0,1.0,3.0
2020-02-07,0.0,0.0,0.0,2.0,0.0,0.0,2.0
2020-02-09,8.0,2.0,0.0,0.0,0.0,0.0,10.0
2020-02-10,4.0,1.0,0.0,0.0,0.0,1.0,6.0
2020-02-11,2.0,2.0,0.0,0.0,0.0,3.0,7.0
2020-02-12,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-02-13,0.0,1.0,0.0,0.0,0.0,2.0,3.0
2020-02-14,0.0,1.0,0.0,0.0,1.0,1.0,3.0
2020-02-16,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-02-17,0.0,1.0,0.0,0.0,0.0,2.0,3.0
2020-02-18,0.0,0.0,1.0,0.0,0.0,1.0,2.0
2020-02-19,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-02-20,0.0,3.0,0.0,0.0,1.0,0.0,4.0
2020-02-22,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-02-23,0.0,1.0,0.0,1.0,1.0,2.0,5.0
2020-02-24,0.0,0.0,0.0,4.0,0.0,2.0,6.0
2020-02-25,1.0,1.0,0.0,0.0,0.0,2.0,4.0
2020-02-26,1.0,0.0,0.0,2.0,0.0,3.0,6.0
2020-02-27,0.0,0.0,0.0,0.0,0.0,2.0,2.0
2020-02-28,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2020-02-29,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-03-01,1.0,1.0,0.0,2.0,0.0,1.0,5.0
2020-03-02,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-04,1.0,0.0,0.0,1.0,1.0,1.0,4.0
2020-03-06,0.0,0.0,1.0,1.0,1.0,0.0,3.0
2020-03-07,0.0,0.0,0.0,2.0,0.0,0.0,2.0
2020-03-08,1.0,0.0,0.0,2.0,1.0,1.0,5.0
2020-03-09,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-03-10,0.0,0.0,2.0,3.0,0.0,0.0,5.0
2020-03-11,1.0,0.0,0.0,8.0,0.0,0.0,9.0
2020-03-12,0.0,0.0,0.0,2.0,0.0,0.0,2.0
2020-03-13,0.0,0.0,1.0,3.0,2.0,0.0,6.0
2020-03-14,0.0,1.0,0.0,3.0,0.0,0.0,4.0
2020-03-15,0.0,0.0,0.0,6.0,1.0,0.0,7.0
2020-03-16,0.0,0.0,1.0,7.0,1.0,0.0,9.0
2020-03-17,0.0,0.0,2.0,7.0,1.0,0.0,10.0
2020-03-18,1.0,1.0,0.0,13.0,9.0,1.0,25.0
2020-03-19,0.0,1.0,0.0,10.0,4.0,1.0,16.0
2020-03-20,1.0,2.0,2.0,25.0,10.0,8.0,48.0
2020-03-21,0.0,2.0,1.0,9.0,3.0,2.0,17.0
2020-03-22,3.0,4.0,2.0,20.0,8.0,7.0,44.0
2020-03-23,4.0,2.0,2.0,21.0,9.0,1.0,39.0
2020-03-24,8.0,1.0,0.0,13.0,5.0,3.0,30.0
2020-03-25,4.0,2.0,0.0,14.0,4.0,0.0,24.0
2020-03-26,13.0,1.0,0.0,25.0,4.0,0.0,43.0
2020-03-27,22.0,0.0,2.0,35.0,6.0,0.0,65.0
2020-03-28,12.0,5.0,0.0,44.0,3.0,0.0,64.0
2020-03-29,9.0,6.0,2.0,36.0,5.0,1.0,59.0
2020-03-30,6.0,1.0,0.0,32.0,2.0,0.0,41.0
2020-03-31,7.0,1.0,0.0,23.0,1.0,0.0,32.0
2020-04-01,9.0,4.0,2.0,29.0,5.0,2.0,51.0
