Report date,Delay local link (-),Delay local link (+),Cases with delay - local link (-),Cases with delay - local link (+),Local link (+),Local link (-)
2020-02-04,74.0,65.0,7.0,10.0,6.5,10.571428571428571
2020-02-05,87.0,100.0,8.0,14.0,7.142857142857143,10.875
2020-02-06,102.0,121.0,10.0,16.0,7.5625,10.2
2020-02-09,102.0,130.0,10.0,17.0,7.647058823529412,10.2
2020-02-10,85.0,130.0,8.0,17.0,7.647058823529412,10.625
2020-02-11,87.0,123.0,9.0,15.0,8.2,9.666666666666666
2020-02-12,76.0,123.0,8.0,15.0,8.2,9.5
2020-02-13,78.0,65.0,9.0,7.0,9.285714285714286,8.666666666666666
2020-02-14,78.0,30.0,9.0,3.0,10.0,8.666666666666666
2020-02-17,76.0,14.0,8.0,2.0,7.0,9.5
2020-02-20,76.0,15.0,8.0,2.0,7.5,9.5
2020-02-23,63.0,17.0,8.0,3.0,5.666666666666667,7.875
2020-02-25,61.0,20.0,7.0,4.0,5.0,8.714285714285714
2020-02-26,56.0,20.0,7.0,4.0,5.0,8.0
2020-03-01,39.0,27.0,5.0,5.0,5.4,7.8
2020-03-11,28.0,27.0,5.0,5.0,5.4,5.6
2020-03-14,25.0,25.0,6.0,5.0,5.0,4.166666666666667
2020-03-18,35.0,15.0,8.0,4.0,3.75,4.375
2020-03-19,52.0,24.0,11.0,6.0,4.0,4.7272727272727275
2020-03-20,56.0,28.0,13.0,8.0,3.5,4.3076923076923075
2020-03-21,57.0,45.0,13.0,15.0,3.0,4.384615384615385
2020-03-22,68.0,57.0,14.0,18.0,3.1666666666666665,4.857142857142857
2020-03-23,70.0,121.0,14.0,31.0,3.903225806451613,5.0
2020-03-24,60.0,189.0,12.0,50.0,3.78,5.0
2020-03-25,72.0,229.0,15.0,61.0,3.7540983606557377,4.8
2020-03-26,95.0,238.0,17.0,64.0,3.71875,5.588235294117647
2020-03-27,100.0,250.0,16.0,67.0,3.7313432835820897,6.25
2020-03-28,102.0,256.0,16.0,67.0,3.8208955223880596,6.375
2020-03-29,112.0,273.0,18.0,71.0,3.8450704225352115,6.222222222222222
2020-03-30,123.0,223.0,19.0,61.0,3.6557377049180326,6.473684210526316
2020-03-31,146.0,186.0,22.0,48.0,3.875,6.636363636363637
2020-04-01,137.0,160.0,19.0,39.0,4.102564102564102,7.2105263157894735
2020-04-02,95.0,148.0,13.0,35.0,4.228571428571429,7.3076923076923075
2020-04-03,100.0,149.0,13.0,31.0,4.806451612903226,7.6923076923076925
2020-04-04,98.0,157.0,13.0,31.0,5.064516129032258,7.538461538461538
2020-04-05,82.0,150.0,11.0,29.0,5.172413793103448,7.454545454545454
2020-04-06,72.0,156.0,10.0,28.0,5.571428571428571,7.2
2020-04-07,49.0,135.0,7.0,22.0,6.136363636363637,7.0
2020-04-08,36.0,138.0,5.0,21.0,6.571428571428571,7.2
2020-04-09,49.0,130.0,6.0,19.0,6.842105263157895,8.166666666666666
2020-04-10,40.0,112.0,6.0,18.0,6.222222222222222,6.666666666666667
2020-04-11,35.0,95.0,5.0,13.0,7.3076923076923075,7.0
2020-04-19,60.0,99.0,4.0,9.0,11.0,15.0
2020-05-13,55.0,88.0,3.0,11.0,8.0,18.333333333333332
2020-05-31,55.0,76.0,3.0,11.0,6.909090909090909,18.333333333333332
2020-06-01,55.0,71.0,3.0,11.0,6.454545454545454,18.333333333333332
2020-06-02,42.0,80.0,2.0,12.0,6.666666666666667,21.0
2020-06-04,42.0,81.0,2.0,12.0,6.75,21.0
2020-06-12,42.0,69.0,2.0,11.0,6.2727272727272725,21.0
2020-06-13,16.0,59.0,5.0,12.0,4.916666666666667,3.2
2020-07-05,36.0,77.0,11.0,19.0,4.052631578947368,3.272727272727273
2020-07-06,38.0,104.0,12.0,33.0,3.1515151515151514,3.1666666666666665
2020-07-07,57.0,154.0,16.0,51.0,3.019607843137255,3.5625
2020-07-08,83.0,169.0,21.0,57.0,2.9649122807017543,3.9523809523809526
2020-07-09,135.0,225.0,31.0,73.0,3.0821917808219177,4.354838709677419
2020-07-10,211.0,289.0,45.0,96.0,3.0104166666666665,4.688888888888889
2020-07-11,279.0,311.0,60.0,109.0,2.853211009174312,4.65
2020-07-12,283.0,298.0,60.0,104.0,2.8653846153846154,4.716666666666667
2020-07-13,404.0,373.0,84.0,120.0,3.1083333333333334,4.809523809523809
2020-07-14,494.0,415.0,102.0,127.0,3.267716535433071,4.8431372549019605
2020-07-15,597.0,478.0,124.0,145.0,3.296551724137931,4.814516129032258
2020-07-16,786.0,563.0,157.0,155.0,3.632258064516129,5.006369426751593
2020-07-17,830.0,646.0,168.0,168.0,3.8452380952380953,4.940476190476191
2020-07-18,870.0,729.0,170.0,184.0,3.9619565217391304,5.117647058823529
2020-07-19,1164.0,924.0,216.0,219.0,4.219178082191781,5.388888888888889
2020-07-20,1350.0,1015.0,244.0,229.0,4.432314410480349,5.532786885245901
2020-07-21,1474.0,1128.0,264.0,256.0,4.40625,5.583333333333333
2020-07-22,1640.0,1298.0,285.0,290.0,4.475862068965517,5.754385964912281
2020-07-23,1563.0,1359.0,273.0,323.0,4.207430340557275,5.725274725274725
2020-07-24,1742.0,1513.0,295.0,364.0,4.156593406593407,5.905084745762712
2020-07-25,1844.0,1583.0,304.0,384.0,4.122395833333333,6.065789473684211
2020-07-26,1738.0,1646.0,286.0,409.0,4.0244498777506115,6.076923076923077
2020-07-27,1799.0,1751.0,290.0,437.0,4.006864988558353,6.203448275862069
2020-07-28,1932.0,1774.0,295.0,437.0,4.059496567505721,6.549152542372881
2020-07-29,1860.0,1897.0,284.0,450.0,4.2155555555555555,6.549295774647887
2020-07-30,1892.0,2056.0,280.0,456.0,4.508771929824562,6.757142857142857
2020-07-31,1726.0,1968.0,255.0,425.0,4.630588235294118,6.768627450980392
2020-08-01,1685.0,1907.0,253.0,405.0,4.708641975308642,6.660079051383399
2020-08-02,1648.0,1861.0,244.0,379.0,4.910290237467018,6.754098360655738
2020-08-03,1482.0,1766.0,221.0,345.0,5.118840579710145,6.705882352941177
2020-08-04,1317.0,1787.0,201.0,333.0,5.366366366366367,6.552238805970149
2020-08-05,1325.0,1542.0,193.0,286.0,5.391608391608392,6.865284974093265
2020-08-06,1280.0,1324.0,186.0,251.0,5.274900398406374,6.881720430107527
2020-08-07,1240.0,1302.0,178.0,237.0,5.493670886075949,6.966292134831461
2020-08-08,1188.0,1197.0,165.0,216.0,5.541666666666667,7.2
2020-08-09,1198.0,1134.0,166.0,207.0,5.478260869565218,7.216867469879518
2020-08-10,1168.0,1027.0,158.0,198.0,5.186868686868687,7.3924050632911396
2020-08-11,1046.0,818.0,141.0,170.0,4.811764705882353,7.418439716312057
2020-08-12,910.0,751.0,125.0,164.0,4.579268292682927,7.28
2020-08-13,855.0,737.0,120.0,165.0,4.466666666666667,7.125
2020-08-14,843.0,583.0,116.0,142.0,4.105633802816901,7.267241379310345
2020-08-15,745.0,639.0,106.0,150.0,4.26,7.028301886792453
2020-08-16,595.0,526.0,85.0,130.0,4.046153846153846,7.0
2020-08-17,460.0,454.0,65.0,109.0,4.165137614678899,7.076923076923077
2020-08-18,398.0,425.0,61.0,105.0,4.0476190476190474,6.524590163934426
2020-08-19,348.0,417.0,54.0,100.0,4.17,6.444444444444445
2020-08-20,282.0,318.0,44.0,75.0,4.24,6.409090909090909
2020-08-21,221.0,290.0,37.0,68.0,4.264705882352941,5.972972972972973
2020-08-22,238.0,234.0,40.0,55.0,4.254545454545455,5.95
2020-08-23,283.0,198.0,45.0,48.0,4.125,6.288888888888889
2020-08-24,256.0,224.0,42.0,53.0,4.226415094339623,6.095238095238095
2020-08-25,271.0,255.0,39.0,50.0,5.1,6.948717948717949
2020-08-26,249.0,230.0,36.0,45.0,5.111111111111111,6.916666666666667
2020-08-27,249.0,206.0,34.0,42.0,4.904761904761905,7.323529411764706
2020-08-28,245.0,207.0,33.0,43.0,4.813953488372093,7.424242424242424
2020-08-29,209.0,198.0,26.0,42.0,4.714285714285714,8.038461538461538
2020-08-30,144.0,204.0,19.0,43.0,4.744186046511628,7.578947368421052
2020-08-31,165.0,155.0,20.0,34.0,4.5588235294117645,8.25
2020-09-01,163.0,105.0,19.0,30.0,3.5,8.578947368421053
2020-09-02,144.0,85.0,17.0,25.0,3.4,8.470588235294118
2020-09-03,157.0,96.0,18.0,24.0,4.0,8.722222222222221
2020-09-04,148.0,105.0,18.0,24.0,4.375,8.222222222222221
2020-09-05,137.0,87.0,17.0,20.0,4.35,8.058823529411764
2020-09-06,122.0,86.0,14.0,18.0,4.777777777777778,8.714285714285714
2020-09-07,98.0,98.0,11.0,20.0,4.9,8.909090909090908
2020-09-08,79.0,94.0,10.0,18.0,5.222222222222222,7.9
2020-09-09,108.0,89.0,14.0,17.0,5.235294117647059,7.714285714285714
2020-09-10,73.0,103.0,10.0,20.0,5.15,7.3
2020-09-11,79.0,113.0,10.0,23.0,4.913043478260869,7.9
2020-09-12,79.0,113.0,10.0,25.0,4.52,7.9
2020-09-13,100.0,100.0,13.0,24.0,4.166666666666667,7.6923076923076925
2020-09-14,91.0,94.0,12.0,23.0,4.086956521739131,7.583333333333333
2020-09-16,92.0,96.0,13.0,24.0,4.0,7.076923076923077
2020-09-17,62.0,86.0,9.0,21.0,4.095238095238095,6.888888888888889
2020-09-18,49.0,54.0,8.0,16.0,3.375,6.125
2020-09-19,36.0,31.0,6.0,11.0,2.8181818181818183,6.0
2020-09-21,36.0,35.0,6.0,11.0,3.1818181818181817,6.0
2020-09-22,15.0,32.0,3.0,10.0,3.2,5.0
2020-09-23,18.0,24.0,4.0,8.0,3.0,4.5
2020-09-24,6.0,28.0,2.0,10.0,2.8,3.0
2020-09-25,8.0,28.0,2.0,10.0,2.8,4.0
2020-09-27,19.0,28.0,4.0,10.0,2.8,4.75
2020-09-28,19.0,24.0,4.0,9.0,2.6666666666666665,4.75
